time,Open,High,Low,Close,Volume,ema_15m,ema_30m,ema_60m,long_bias,short_bias,is_session_active,bullish_fvg,bearish_fvg,bullish_fvg_bottom,bullish_fvg_top,bearish_fvg_bottom,bearish_fvg_top,long_ifvg_confirm,short_ifvg_confirm
2026-03-31 21:05:00-04:00,23736.96,23754.96,23731.16,23732.76,733,,,,False,False,False,False,False,,,,,False,False
2026-03-31 21:10:00-04:00,23732.86,23786.36,23726.96,23779.66,710,,,,False,False,False,False,False,,,,,False,False
2026-03-31 21:15:00-04:00,23780.96,23785.76,23769.16,23772.46,871,23772.46,,,False,False,False,True,False,23754.96,23769.16,,,False,False
2026-03-31 21:20:00-04:00,23773.76,23790.46,23754.16,23777.16,1151,23772.46,,,False,False,False,False,False,,,,,False,False
2026-03-31 21:25:00-04:00,23776.76,23785.66,23767.46,23776.46,616,23772.46,,,False,False,False,False,False,,,,,False,False
2026-03-31 21:30:00-04:00,23777.26,23780.46,23760.36,23760.66,818,23771.99725490196,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 21:35:00-04:00,23760.46,23777.16,23756.16,23774.36,790,23771.99725490196,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 21:40:00-04:00,23774.66,23791.16,23772.96,23780.16,726,23771.99725490196,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 21:45:00-04:00,23780.46,23782.76,23764.66,23774.16,679,23772.082068435215,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 21:50:00-04:00,23772.46,23774.06,23765.16,23771.36,516,23772.082068435215,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 21:55:00-04:00,23770.96,23777.16,23768.76,23777.16,447,23772.082068435215,23760.66,,False,False,False,False,False,,,,,False,False
2026-03-31 22:00:00-04:00,23776.16,23779.25,23761.65,23771.55,960,23772.061203006382,23761.08705882353,23771.55,False,False,False,False,False,,,,,False,False
2026-03-31 22:05:00-04:00,23771.35,23781.95,23767.75,23768.35,741,23772.061203006382,23761.08705882353,23771.55,False,False,False,False,False,,,,,False,False
2026-03-31 22:10:00-04:00,23769.35,23775.65,23765.05,23772.55,579,23772.061203006382,23761.08705882353,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:15:00-04:00,23772.45,23787.85,23766.35,23783.35,726,23772.503900927702,23761.08705882353,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:20:00-04:00,23783.25,23786.55,23773.45,23786.05,639,23772.503900927702,23761.08705882353,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:25:00-04:00,23786.35,23802.55,23781.35,23796.35,678,23772.503900927702,23761.08705882353,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:30:00-04:00,23795.85,23814.85,23792.25,23814.75,826,23774.160610695242,23763.191487889275,23771.55,True,False,False,True,False,23786.55,23792.25,,,False,False
2026-03-31 22:35:00-04:00,23814.65,23837.75,23812.15,23829.35,1268,23774.160610695242,23763.191487889275,23771.55,True,False,False,True,False,23802.55,23812.15,,,False,False
2026-03-31 22:40:00-04:00,23828.55,23828.75,23803.45,23805.55,889,23774.160610695242,23763.191487889275,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:45:00-04:00,23805.35,23814.35,23800.35,23813.85,971,23775.717057334645,23763.191487889275,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:50:00-04:00,23813.55,23841.55,23811.85,23832.25,1262,23775.717057334645,23763.191487889275,23771.55,True,False,False,False,False,,,,,False,False
2026-03-31 22:55:00-04:00,23832.85,23863.85,23826.05,23855.55,1281,23775.717057334645,23763.191487889275,23771.55,True,False,False,True,False,23814.35,23826.05,,,False,False
2026-03-31 23:00:00-04:00,23855.45,23865.85,23838.55,23864.85,1760,23779.212466850935,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:05:00-04:00,23864.45,23864.45,23840.05,23849.25,1823,23779.212466850935,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:10:00-04:00,23848.95,23856.75,23838.85,23854.45,1640,23779.212466850935,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:15:00-04:00,23852.75,23854.95,23832.05,23842.95,1690,23781.71197795482,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:20:00-04:00,23844.05,23849.95,23823.95,23844.85,1536,23781.71197795482,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:25:00-04:00,23845.85,23848.35,23831.55,23840.05,1436,23781.71197795482,23767.178096207343,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:30:00-04:00,23839.95,23842.55,23810.95,23819.95,1573,23783.2115082311,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:35:00-04:00,23820.45,23832.25,23818.95,23824.85,1254,23783.2115082311,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:40:00-04:00,23824.75,23843.45,23824.75,23838.75,1271,23783.2115082311,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:45:00-04:00,23837.85,23839.45,23829.55,23835.55,1372,23785.26399810439,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:50:00-04:00,23835.45,23849.35,23834.35,23840.25,1299,23785.26399810439,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-03-31 23:55:00-04:00,23839.95,23854.85,23834.55,23854.25,1356,23785.26399810439,23769.24758263058,23775.20882352941,True,False,False,False,False,,,,,False,False
2026-04-01 00:00:00-04:00,23854.95,23860.55,23824.35,23824.95,1867,23786.82031190422,23771.431991154874,23777.159457900805,True,False,False,False,False,,,,,False,False
2026-04-01 00:05:00-04:00,23825.45,23826.55,23793.55,23815.25,1896,23786.82031190422,23771.431991154874,23777.159457900805,True,False,False,False,True,,,23826.55,23834.55,False,False
2026-04-01 00:10:00-04:00,23814.95,23827.25,23809.55,23816.75,1535,23786.82031190422,23771.431991154874,23777.159457900805,True,False,False,False,False,,,,,False,False
2026-04-01 00:15:00-04:00,23816.95,23817.45,23799.25,23815.25,1612,23787.935201633467,23771.431991154874,23777.159457900805,True,False,False,False,False,,,,,False,False
2026-04-01 00:20:00-04:00,23814.95,23820.85,23806.85,23818.75,1482,23787.935201633467,23771.431991154874,23777.159457900805,True,False,False,False,False,,,,,False,False
2026-04-01 00:25:00-04:00,23818.85,23832.45,23816.25,23829.05,1406,23787.935201633467,23771.431991154874,23777.159457900805,True,False,False,False,False,,,,,False,False
2026-04-01 00:30:00-04:00,23827.05,23830.75,23806.05,23807.05,1596,23788.68480156941,23772.828775815466,23777.159457900805,True,False,False,False,False,,,,,False,True
