scenario,total_return_pct
1,-0.44817782534165573
2,0.39235961561916444
3,-0.4223219791603672
4,0.18901460375457813
5,-0.22035328130178833
6,-0.8961979587639446
7,0.010013012681353572
8,0.6684525486481352
9,0.17736707008821906
10,-0.4508217747178134
11,-0.3810381401846419
12,-0.03704853915159623
13,0.7266347741790913
14,0.587558952067968
15,-1.1143773142168412
16,-0.20675329163860612
17,0.4676181779402988
18,0.34592846978609426
19,-0.30622127541407584
20,-0.18436949180794526
21,0.1341251513905961
22,-0.21506077207483765
23,0.0972752476038119
24,0.8360678730106486
25,-0.71160666904444
26,0.26574362367874915
27,0.5331654968189214
28,-0.23375322135286147
29,0.297690280100249
30,0.09638832545373344
31,0.44423262184840606
32,0.11050430348795715
33,0.5629955955193777
34,-0.06294490208831327
35,0.11886287186106959
36,0.3923585204836266
37,0.3165375002035731
38,-1.4066311240320983
39,-0.11562692644283556
40,-0.4413104983685967
41,-0.2067390170790273
42,-1.4792909811800814
43,-0.9711889317164046
44,0.6643318968148071
45,0.7156165757971955
46,1.045227941508231
47,0.5178957595157074
48,0.004785844280097429
49,-0.19487000107721864
50,-0.3778891262596895
51,0.4311171231700328
52,-0.29593123043555325
53,0.4884035910775131
54,-0.06238805204036302
55,0.433720306058083
56,0.12271837576776079
57,0.1315213248726188
58,0.1668036360518821
59,-0.37159419067999133
60,0.6022317764732055
61,-0.586859828149322
62,0.4895896571187164
63,0.1397110659767442
64,0.3530788924532624
65,-0.6317671926875268
66,0.5507829967917655
67,0.7971157909850257
68,0.2549980028531573
69,0.4039622039604396
70,-0.30175497402276097
71,0.5153315991132779
72,0.4509579025117283
73,0.18605690487043525
74,-1.0810511189350835
75,0.2973558795583031
76,0.5378535940757656
77,-0.32106967904386163
78,0.3522588219532441
79,-0.39965714096255045
80,0.6689521419647626
81,1.04240968434397
82,0.5290360006528161
83,-0.023527756115460097
84,1.0378509273018421
85,-0.025112183670528143
86,-0.7638816999786524
87,-0.09214363043493767
88,0.2445435730474399
89,-0.5514269289741747
90,0.47158374476448106
91,0.07688523785081003
92,0.03477264703921623
93,-0.02841104982176379
94,-0.6525752865681911
95,0.09507994667736774
96,0.7543490713544321
97,0.32386223844338424
98,0.12590307996283023
99,1.7872762047195234
100,0.10573968079505836
101,-0.38838960229694575
102,0.5593806680736835
103,0.22313177083783664
104,-0.01771370453976795
105,0.490372825194374
106,-0.16751961903427315
107,-0.0907512225515772
108,-0.2797398846620558
109,0.4687998054271558
110,1.332224068724841
111,-0.9871003991567817
112,0.3288056606667311
113,-0.3580572836439422
114,0.23788447633348309
115,0.025882218795181267
116,0.16742760380532573
117,-0.39907134248658993
118,-0.054998101780967534
119,0.24180995822415952
120,-1.5955838461175431
121,1.2881302572126163
122,-0.0058054249795991275
123,1.3548389882479084
124,0.40339085877110215
125,-0.0949526223038677
126,-0.46913009055375987
127,0.40182092206226816
128,-0.16112586176413313
129,-0.010968656282783762
130,-0.4030826941719079
131,0.3109836543071953
132,-0.630850765515345
133,0.29186021992786415
134,0.9681471382799289
135,-0.5357809400862057
136,0.05531142346089091
137,0.27130103670698347
138,0.19014045432508286
139,0.23567971349980343
140,0.8931372460789344
141,0.09558089029959582
142,0.04958715079423914
143,0.5570199689316047
144,-0.28542121955820177
145,-0.2547235480743759
146,0.4928422675363642
147,-0.5087725160790146
148,0.16775040148702125
149,0.49290331895555095
150,-0.18609791604291548
151,-0.23310711163619935
152,0.15106110476401646
153,-0.37885645181028327
154,-0.6449741027177769
155,-0.1606235927847921
156,0.7119129626019793
157,-0.22595430576828335
158,0.45183210164732035
159,0.3149221862570828
160,-0.24803755276298078
161,0.3952876788656967
162,0.4443210322955249
163,0.3888771666813229
164,0.8110744050751295
165,0.7353429978772752
166,0.7864211369593033
167,-1.0953771357812836
168,-0.7710753360275158
169,-0.39399971182931814
170,0.9008117644450087
171,-0.18446579077280312
172,-0.0926046791851598
173,-0.288164809288316
174,0.16139190963502248
175,0.3102299541302367
176,0.18677444060790638
177,0.8770253157991181
178,-0.18195372024502054
179,0.16167973790548462
180,0.6388635609803073
181,-0.7390016492103135
182,-0.4101971161279194
183,0.11451811809144452
184,-0.2622461687297739
185,-0.39010624876005817
186,0.7950562581356735
187,0.39071208558407733
188,-0.5161331666784785
189,-0.07096689396631772
190,-0.07161596214028121
191,-0.8966446248442006
192,-0.7168337010454273
193,0.5177813299488188
194,-0.6945906165944815
195,0.19010105776946506
196,-0.18819591203222963
197,-0.3009658185592734
198,0.8975661022288417
199,0.31298828408969914
200,-1.0821867282220787
201,-0.2025313845806509
202,-0.32972658028983526
203,0.26266749396997024
204,0.6250018748563235
205,-0.34794602611255554
206,0.03708637874884069
207,1.3341424860926043
208,-0.13362709741476797
209,0.5200782979118745
210,0.3734358008466776
211,0.1391861678594397
212,1.004830472956031
213,0.17028672096695008
214,-0.044842770752051564
215,0.5952176292870481
216,-1.0882875304101591
217,-0.2901897887091054
218,0.21707881195531797
219,0.021901261851176024
220,0.8572865031593713
221,0.5950296252949183
222,0.05738134155632846
223,-0.23160180675174669
224,-0.15309913266873254
225,1.1360944072658752
226,0.19669857500357324
227,-0.45609229939216345
228,-1.1492095805811786
229,0.8241367063011484
230,0.9612524495187902
231,-0.8614716511552989
232,-0.4305406062607209
233,-0.35769079485362676
234,0.5111120894393029
235,-0.3111774243285015
236,0.1069927942551896
237,0.5120900045890053
238,0.4498566035056717
239,0.006494413965918433
240,-0.48551322050405243
241,0.9716689010053958
242,0.4972822067062177
243,-0.13060819648677002
244,-0.5088784642435562
245,-0.6021050472499789
246,-0.5127590152205097
247,0.38066162650081115
248,0.5170194952430096
249,0.42812178244211463
250,0.5322848515342926
251,0.08117188622216442
252,-0.1659305776967157
253,0.5190328023592095
254,1.5258924782467709
255,0.8040170824996196
256,-0.46110091308495527
257,1.257029062351478
258,0.2857641529241173
259,0.15878047728956624
260,1.118454561885418
261,-0.27918717922935654
262,0.5028680139735675
263,-0.012529538028771547
264,0.10729154249122796
265,-1.0626779226711847
266,-0.36813316720376577
267,-0.5042971864184898
268,0.17849991249827557
269,-0.22009007574477213
270,-0.8613915099857983
271,-0.36128891868079105
272,0.5899297600724163
273,-0.324660887813899
274,-0.19245875393250067
275,0.7790304886182042
276,0.27540115895654527
277,1.2683363770195966
278,0.2487504919717276
279,-0.21278059606730793
280,0.33098042764654334
281,-0.214371589895046
282,0.5553591716734196
283,-0.34573477988536494
284,-0.07334792897424336
285,-0.29620662433036404
286,-0.6552580125579133
287,0.6430434547768149
288,0.38596173248477417
289,0.5437700192556072
290,0.29739764458855955
291,0.16863196512080236
292,-0.08241260153398766
293,0.1939964508407277
294,-0.18687950728752956
295,0.8467154898058382
296,0.21146726720684406
297,-0.2638214037459674
298,-0.13754741659581793
299,-0.5513251557731524
300,0.23151381948129934
301,0.6675171949379388
302,-0.7737299350500937
303,-0.8798802900166658
304,0.3865369756171466
305,0.38758080762937297
306,-0.5816613743515386
307,-0.5739386578860417
308,-1.1053469782693726
309,-0.1012337847107525
310,0.29773905954559865
311,-0.811090259569136
312,-0.03144723360901658
313,-0.9247791342248401
314,-0.7504972097823193
315,-0.33991070926774336
316,0.28569047531330494
317,0.060260732820593965
318,0.08848461792940743
319,-0.24178629564290954
320,0.183329469447302
321,0.4053897996127098
322,0.5022161388469115
323,0.009254294542526686
324,-0.933536294733428
325,0.025369002680841746
326,-0.028137733531941045
327,0.4026384291875962
328,0.22495819943455508
329,-0.9565343268234106
330,0.4928082661480815
331,0.7541396337226391
332,-0.008279687748402598
333,-0.3793162188515553
334,0.7632320292757955
335,-0.3453072254152145
336,-0.1624663207445587
337,-0.5452240400450559
338,0.12513574086567836
339,0.7238254757785834
340,0.7537240613675333
341,0.25528989212579845
342,1.8261234339937982
343,0.3334165462793415
344,-0.10241927529160977
345,0.13480348543979392
346,0.06252198566070177
347,-0.2820582741025812
348,0.5424885542500757
349,1.3621567038506033
350,-0.2986315003608686
351,0.9717759232161338
352,0.3524150544037763
353,0.036660996608617324
354,0.4905469519882244
355,0.4063693722196726
356,-0.16659353343150274
357,-0.1425988017648261
358,0.08705102705997003
359,0.8807377118213555
360,-0.16204396614292182
361,-0.41517019738191996
362,-1.018105612956366
363,0.3476205907962937
364,0.5787147663151693
365,0.1472395309211727
366,-0.13530065669101754
367,-0.016049304091825256
368,-0.5275972637684534
369,-1.090668856339494
370,0.16217835918603818
371,-0.14354146924113742
372,-0.6241811653860507
373,0.5446663429095944
374,0.898041147043438
375,-0.5527404040203354
376,0.6149684553934165
377,-0.357507185140693
378,-0.2850974036099241
379,-0.36575525908209006
380,-1.0569003852158754
