entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,r_multiple,pnl,return_pct,direction,exit_reason
2026-01-02 09:40:00-05:00,25494.85,25486.25,25512.049999999996,2026-01-02 09:50:00-05:00,25486.25,-1.0,-8.599999999998545,-0.000337323027984026,long,SL
2026-01-05 10:45:00-05:00,25381.95,25373.55,25398.750000000004,2026-01-05 10:55:00-05:00,25398.750000000004,2.0,16.80000000000291,0.0006618876800246991,long,TP
2026-01-05 12:00:00-05:00,25452.1,25424.5,25507.299999999996,2026-01-05 12:30:00-05:00,25507.299999999996,2.0,55.19999999999709,0.002168779786343645,long,TP
2026-01-07 11:25:00-05:00,25605.65,25592.25,25632.450000000004,2026-01-07 11:30:00-05:00,25592.25,-1.0,-13.400000000001455,-0.0005233220011990109,long,SL
2026-01-09 09:55:00-05:00,25572.65,25562.25,25593.450000000004,2026-01-09 10:00:00-05:00,25562.25,-1.0,-10.400000000001455,-0.00040668448518246857,long,SL
2026-01-09 13:05:00-05:00,25709.4,25623.7,25880.800000000003,2026-01-09 13:35:00-05:00,25692.75,-0.1942823803967481,-16.650000000001455,-0.0006476230483792486,long,SESSION_END
2026-01-12 12:55:00-05:00,25746.93,25738.48,25763.83,2026-01-12 13:00:00-05:00,25738.48,-1.0,-8.450000000000728,-0.0003281944682337167,long,SL
2026-01-13 11:20:00-05:00,25829.15,25812.95,25861.550000000003,2026-01-13 11:25:00-05:00,25812.95,-1.0,-16.200000000000728,-0.0006271983398602249,long,SL
2026-01-14 10:45:00-05:00,25580.75,25584.35,25573.550000000003,2026-01-14 10:50:00-05:00,25584.35,-1.0,-3.599999999998545,-0.00014073082298206833,short,SL
2026-01-14 12:40:00-05:00,25395.23,25493.03,25199.63,2026-01-14 13:35:00-05:00,25382.53,0.12985685071575484,12.700000000000728,0.0005000939152746688,short,SESSION_END
2026-01-15 11:40:00-05:00,25765.03,25734.63,25825.829999999994,2026-01-15 11:45:00-05:00,25734.63,-1.0,-30.399999999997817,-0.0011798938328423378,long,SL
2026-01-15 13:00:00-05:00,25752.78,25697.38,25863.579999999994,2026-01-15 13:35:00-05:00,25751.23,-0.027978339350168475,-1.5499999999992724,-6.018767682554165e-05,long,SESSION_END
2026-01-19 11:30:00-05:00,25110.28,25134.15,25062.539999999994,2026-01-19 11:50:00-05:00,25134.15,-1.0,-23.87000000000262,-0.0009506066837965415,short,SL
2026-01-19 12:15:00-05:00,25154.53,25166.53,25130.53,2026-01-19 12:25:00-05:00,25166.53,-1.0,-12.0,-0.00047705125080850253,short,SL
2026-01-20 09:15:00-05:00,25060.55,25072.55,25036.55,2026-01-20 09:20:00-05:00,25072.55,-1.0,-12.0,-0.0004788402489171227,short,SL
2026-01-21 10:40:00-05:00,24903.75,24912.25,24886.75,2026-01-21 10:45:00-05:00,24912.25,-1.0,-8.5,-0.00034131405912764143,short,SL
2026-01-22 11:15:00-05:00,25587.75,25573.65,25615.949999999997,2026-01-22 11:20:00-05:00,25573.65,-1.0,-14.099999999998545,-0.000551044933610753,long,SL
2026-01-26 10:50:00-05:00,25576.05,25566.35,25595.45,2026-01-26 11:00:00-05:00,25595.45,2.0,19.400000000001455,0.0007585221330112139,long,TP
2026-01-26 12:45:00-05:00,25741.48,25739.63,25745.179999999997,2026-01-26 12:50:00-05:00,25739.63,-1.0,-1.8499999999985448,-7.186843957684425e-05,long,SL
2026-01-27 09:35:00-05:00,25884.25,25874.15,25904.449999999997,2026-01-27 09:45:00-05:00,25874.15,-1.0,-10.099999999998545,-0.00039019867293812045,long,SL
2026-01-27 13:00:00-05:00,25955.73,25949.23,25968.73,2026-01-27 13:10:00-05:00,25968.73,2.0,13.0,0.0005008527982067929,long,TP
